Date,Time in bed(hr)
2021-04-18 23:30:00 - 2021-04-19 06:47:47,7.296
2021-04-19 23:33:44 - 2021-04-20 07:30:15,7.942
2021-04-20 23:00:00 - 2021-04-21 05:40:37,6.677
2021-04-21 05:42:17 - 2021-04-21 05:42:21,0.001
2021-04-21 05:54:51 - 2021-04-21 05:54:59,0.002
2021-04-21 06:16:47 - 2021-04-21 06:16:52,0.001
2021-04-21 06:24:49 - 2021-04-21 06:24:52,0.001
2021-04-21 06:27:46 - 2021-04-21 06:27:48,0.001
2021-04-21 06:35:16 - 2021-04-21 06:35:18,0.001
2021-04-21 23:30:00 - 2021-04-22 07:20:38,7.844
2021-04-22 07:22:27 - 2021-04-22 07:22:45,0.005
2021-04-23 07:26:36 - 2021-04-23 07:26:39,0.001
2021-04-24 00:29:12 - 2021-04-24 07:31:39,7.041
2021-04-24 23:45:28 - 2021-04-25 07:21:33,7.601
2021-04-25 23:38:48 - 2021-04-26 07:19:43,7.682
2021-04-26 07:20:28 - 2021-04-26 07:20:52,0.007
2021-04-26 07:21:55 - 2021-04-26 07:23:00,0.018
2021-04-27 00:14:11 - 2021-04-27 07:17:15,7.051
2021-04-27 07:17:37 - 2021-04-27 07:17:43,0.002
2021-04-27 07:18:14 - 2021-04-27 07:18:27,0.004
2021-04-27 23:30:00 - 2021-04-28 06:45:23,7.256
2021-04-28 23:30:00 - 2021-04-29 06:22:59,6.883
2021-04-29 06:23:03 - 2021-04-29 06:23:05,0.001
2021-04-29 06:35:39 - 2021-04-29 06:35:53,0.004
2021-04-30 00:30:14 - 2021-04-30 07:19:43,6.825
2021-04-30 07:19:47 - 2021-04-30 07:20:03,0.004
2021-04-30 23:30:00 - 2021-05-01 07:30:18,8.005
2021-05-02 01:58:46 - 2021-05-02 07:50:36,5.864
2021-05-02 23:30:00 - 2021-05-03 07:46:48,8.280
2021-05-03 23:30:00 - 2021-05-04 06:37:34,7.126
2021-05-04 06:37:37 - 2021-05-04 06:37:53,0.004
2021-05-04 07:03:18 - 2021-05-04 07:03:29,0.003
2021-05-04 07:05:28 - 2021-05-04 07:24:11,0.312
2021-05-04 07:28:18 - 2021-05-04 07:28:22,0.001
2021-05-05 03:00:02 - 2021-05-05 05:14:03,2.234
2021-05-05 05:14:18 - 2021-05-05 06:30:36,1.272
2021-05-05 23:30:00 - 2021-05-06 03:38:15,4.138
2021-05-06 03:38:32 - 2021-05-06 07:30:30,3.866
2021-05-06 23:44:31 - 2021-05-07 01:35:40,1.852
2021-05-07 01:35:52 - 2021-05-07 03:44:42,2.147
2021-05-07 03:44:55 - 2021-05-07 05:03:34,1.311
2021-05-07 23:30:00 - 2021-05-08 07:30:35,8.010
2021-05-08 23:30:00 - 2021-05-09 06:46:21,7.272
2021-05-09 23:31:19 - 2021-05-10 07:11:07,7.663
2021-05-10 23:30:00 - 2021-05-11 06:51:03,7.351
2021-05-11 06:51:08 - 2021-05-11 06:51:11,0.001
2021-05-11 06:51:32 - 2021-05-11 06:51:49,0.005
2021-05-12 00:42:22 - 2021-05-12 07:00:14,6.298
2021-05-12 07:04:12 - 2021-05-12 07:04:37,0.007
2021-05-12 23:30:00 - 2021-05-13 07:30:51,8.014
2021-05-14 02:49:50 - 2021-05-14 02:49:57,0.002
2021-05-14 02:50:05 - 2021-05-14 07:30:11,4.668
2021-05-14 23:30:00 - 2021-05-15 04:25:56,4.932
2021-05-15 04:26:01 - 2021-05-15 04:26:58,0.016
2021-05-15 04:27:16 - 2021-05-15 04:33:13,0.099
2021-05-15 04:33:22 - 2021-05-15 07:30:00,2.944
2021-05-16 06:25:09 - 2021-05-16 06:45:34,0.340
2021-05-16 23:30:00 - 2021-05-17 06:32:20,7.039
2021-05-17 06:32:23 - 2021-05-17 06:32:25,0.001
2021-05-18 01:52:54 - 2021-05-18 08:40:48,6.799
2021-05-18 23:59:46 - 2021-05-19 07:04:25,7.077
2021-05-20 00:02:01 - 2021-05-20 07:55:58,7.899
2021-05-21 00:33:50 - 2021-05-21 06:50:36,6.279
2021-05-21 07:35:08 - 2021-05-21 07:35:12,0.001
2021-05-22 03:44:45 - 2021-05-22 07:55:39,4.182
2021-05-22 23:30:00 - 2021-05-23 07:16:20,7.772
2021-05-23 07:21:23 - 2021-05-23 07:21:28,0.001
2021-05-24 06:45:14 - 2021-05-24 08:00:13,1.250
2021-05-25 09:06:15 - 2021-05-25 09:20:02,0.230
2021-05-26 05:49:38 - 2021-05-26 10:30:56,4.688
2021-05-27 00:23:15 - 2021-05-27 08:11:54,7.811
2021-05-27 23:39:14 - 2021-05-28 07:18:17,7.651
2021-05-29 06:52:53 - 2021-05-29 07:56:14,1.056
2021-05-30 06:11:51 - 2021-05-30 08:02:43,1.848
2021-05-31 02:04:38 - 2021-05-31 07:45:48,5.686
2021-05-31 07:47:51 - 2021-05-31 07:48:44,0.015
2021-06-01 02:18:35 - 2021-06-01 07:57:48,5.654
2021-06-02 00:48:31 - 2021-06-02 07:59:41,7.186
2021-06-02 23:41:36 - 2021-06-03 08:08:53,8.455
2021-06-04 00:07:34 - 2021-06-04 07:56:44,7.820
2021-06-05 00:54:35 - 2021-06-05 07:55:18,7.012
2021-06-06 01:05:21 - 2021-06-06 07:56:37,6.854
2021-06-07 04:51:59 - 2021-06-07 08:08:12,3.270
2021-06-07 08:08:49 - 2021-06-07 08:08:50,0.000
2021-06-08 00:51:39 - 2021-06-08 07:35:00,6.722
2021-06-08 07:35:02 - 2021-06-08 07:35:03,0.000
2021-06-09 00:44:12 - 2021-06-09 07:15:40,6.524
2021-06-10 00:07:13 - 2021-06-10 06:35:02,6.464
2021-06-10 06:35:50 - 2021-06-10 07:40:08,1.072
2021-06-10 07:40:16 - 2021-06-10 08:42:45,1.041
2021-06-11 00:23:28 - 2021-06-11 07:50:47,7.455
2021-06-12 00:03:02 - 2021-06-12 07:55:53,7.881
2021-06-13 07:49:40 - 2021-06-13 07:55:11,0.092
2021-06-13 23:30:00 - 2021-06-14 07:19:25,7.824
2021-06-14 07:21:27 - 2021-06-14 07:56:01,0.576
2021-06-14 23:30:00 - 2021-06-15 07:25:31,7.925
2021-06-15 07:25:53 - 2021-06-15 07:29:32,0.061
2021-06-16 01:00:19 - 2021-06-16 07:55:22,6.918
2021-06-17 00:34:33 - 2021-06-17 07:21:53,6.789
2021-06-17 07:21:59 - 2021-06-17 07:22:10,0.003
2021-06-17 07:29:07 - 2021-06-17 07:29:19,0.003
2021-06-17 07:30:05 - 2021-06-17 07:30:23,0.005
2021-06-17 07:30:29 - 2021-06-17 07:30:31,0.001
2021-06-17 07:34:21 - 2021-06-17 07:34:43,0.006
2021-06-17 07:36:35 - 2021-06-17 07:36:37,0.001
2021-06-17 07:44:16 - 2021-06-17 07:44:18,0.001
2021-06-18 03:18:54 - 2021-06-18 08:01:56,4.717
2021-06-18 08:27:48 - 2021-06-18 08:29:03,0.021
2021-06-19 01:15:15 - 2021-06-19 07:59:19,6.735
2021-06-19 23:30:00 - 2021-06-20 07:22:02,7.867
2021-06-20 07:22:27 - 2021-06-20 07:33:56,0.191
2021-06-20 07:38:58 - 2021-06-20 07:55:07,0.269
2021-06-21 01:56:13 - 2021-06-21 07:04:26,5.137
2021-06-21 07:04:29 - 2021-06-21 07:04:31,0.001
2021-06-21 07:07:20 - 2021-06-21 08:15:56,1.143
2021-06-21 23:38:25 - 2021-06-22 07:56:12,8.297
2021-06-22 23:37:28 - 2021-06-23 07:59:49,8.373
2021-06-24 03:43:33 - 2021-06-24 07:55:44,4.203
2021-06-25 02:45:50 - 2021-06-25 07:56:12,5.173
2021-06-25 07:56:20 - 2021-06-25 08:06:42,0.173
2021-06-25 08:18:18 - 2021-06-25 08:19:26,0.019
2021-06-25 23:30:00 - 2021-06-26 04:42:57,5.216
2021-06-26 04:46:05 - 2021-06-26 07:37:47,2.862
2021-06-26 07:38:29 - 2021-06-26 07:38:38,0.002
2021-06-26 07:40:49 - 2021-06-26 07:40:59,0.003
2021-06-26 23:30:00 - 2021-06-27 07:06:25,7.607
2021-06-27 07:07:05 - 2021-06-27 07:07:06,0.000
2021-06-27 07:09:00 - 2021-06-27 07:09:03,0.001
2021-06-27 07:09:09 - 2021-06-27 07:09:14,0.001
2021-06-28 07:21:22 - 2021-06-28 07:55:34,0.570
2021-06-29 04:20:23 - 2021-06-29 07:43:36,3.387
2021-06-29 07:43:55 - 2021-06-29 07:52:22,0.141
