Date,Headphone sound levels(dBASPL)
2020-12-02 13:35:23 - 2020-12-02 13:54:57,57.744
2020-12-02 13:54:57 - 2020-12-02 13:55:00,34.960
2020-12-02 13:55:03 - 2020-12-02 14:17:14,56.376
2020-12-02 14:17:43 - 2020-12-02 14:17:46,60.017
2020-12-02 14:18:12 - 2020-12-02 14:44:55,54.846
2020-12-02 14:44:55 - 2020-12-02 14:56:27,55.626
2020-12-02 15:06:56 - 2020-12-02 15:13:15,63.047
2020-12-02 15:14:25 - 2020-12-02 15:14:28,61.233
2020-12-03 00:22:54 - 2020-12-03 00:24:51,62.086
2020-12-03 00:25:16 - 2020-12-03 00:39:01,56.313
2020-12-03 12:37:54 - 2020-12-03 12:44:01,50.575
2020-12-03 12:44:01 - 2020-12-03 12:46:13,48.846
2020-12-03 12:46:13 - 2020-12-03 13:07:49,52.280
2020-12-03 13:07:49 - 2020-12-03 13:10:13,52.282
2020-12-03 13:10:57 - 2020-12-03 13:11:06,56.779
2020-12-03 13:11:30 - 2020-12-03 13:33:25,49.440
2020-12-03 13:40:05 - 2020-12-03 13:46:05,41.815
2020-12-03 17:00:19 - 2020-12-03 17:13:35,64.732
2020-12-03 17:13:35 - 2020-12-03 17:13:38,66.908
2020-12-03 17:13:38 - 2020-12-03 17:15:03,56.240
2020-12-03 17:15:32 - 2020-12-03 17:30:18,62.953
2020-12-03 17:30:19 - 2020-12-03 17:30:37,74.180
2020-12-03 17:30:37 - 2020-12-03 17:34:14,68.362
2020-12-03 17:34:15 - 2020-12-03 17:41:46,78.708
2020-12-03 22:54:12 - 2020-12-03 23:00:33,71.082
